"Title","Developer(s)","Publisher(s)","Release date","Release date","Release date","Release date","Ref."
"Title","Developer(s)","Publisher(s)","Japan","North America","Australasia","Europe","Ref."
"10-in-1: Arcade Collection","Gamelion Studios","Gamelion Studios","March 26, 2014","August 15, 2013","Unreleased","August 1, 2013",""
"100% Pascal Sensei: Kanpeki Paint Bombers","Konami","Konami","July 13, 2017","Unreleased","Unreleased","Unreleased",""
"1000m Zombie Escape!","Oink Games","Oink Games","March 1, 2017","Unreleased","Unreleased","Unreleased",""
"1001 Spikes","8bits Fanatics","Nicalis","November 25, 2015","June 3, 2014","Unreleased","October 1, 2015",""
"101 DinoPets 3D","Teyon","Selectsoft","March 13, 2013","January 10, 2013","Unreleased","June 20, 2013",""
"101 Penguin Pets 3D","Teyon","Selectsoft","April 23, 2014","October 17, 2013","Unreleased","December 19, 2013",""
"101 Pony Pets 3D","Teyon","Selectsoft","April 22, 2015","July 24, 2014","Unreleased","November 20, 2014",""
"12-Sai. Honto no Kimochi","Happinet","Happinet","December 18, 2014","Unreleased","Unreleased","Unreleased",""
"12-Sai. Koisuru Diary","Happinet","Happinet","August 4, 2016","Unreleased","Unreleased","Unreleased",""
"12-Sai. Torokeru Puzzle Futari no Harmony","Happinet","Happinet","October 26, 2017","Unreleased","Unreleased","Unreleased",""
"2 Fast 4 Gnomz","QubicGames","QubicGames","June 26, 2013","November 1, 2012","Unreleased","December 6, 2012",""
"2048","Cosmigo","Cosmigo","September 10, 2014","June 19, 2014","Unreleased","July 31, 2014",""
"36 Fragments of Midnight","Petite Games","Petite Games","Unreleased","September 21, 2017","Unreleased","September 21, 2017",""
"3D Classics: Excitebike","Arika","Nintendo","February 26, 2011","March 27, 2011","March 31, 2011","March 25, 2011",""
"3D Retro Dungeon Puzzle Challenge","Skunk Software","Skunk Software","Unreleased","May 3, 2018","Unreleased","Unreleased",""
"4 Elements","NA: Engine SoftwarePAL: Media Sales & Licensing","NA: Tulip GamesPAL: Media Sales & Licensing","Unreleased","November 7, 2013","November 29, 2012","September 27, 2012",""
"50 Classic Games 3D","Avanquest Software","NA: Maximum Family GamesEU: Avanquest Software","Unreleased","April 24, 2012","Unreleased","March 2, 2012",""
"50 Pinch Barrage","Mobile & Game Studio","Mobile & Game Studio","September 26, 2014","March 12, 2015","Unreleased","Unreleased",""
"6180 the moon","Rainy Frog","EU: Turtle CreamWW: Rainy Frog","March 8, 2017","June 29, 2017","Unreleased","March 16, 2017",""
"6×1≠Unlimited","A+ Games","A+ Games","January 7, 2015","Unreleased","Unreleased","Unreleased",""
"7th Dragon III Code: VFD","Sega","Sega","October 15, 2015","July 12, 2016","December 2, 2016","December 2, 2016",""
"80's Overdrive","Insane Code","Insane Code","March 14, 2018","December 14, 2017","December 3, 2017","December 3, 2017",""
"A-Train 3D: City Simulator","Artdink","Natsume","February 13, 2014","April 14, 2015","April 16, 2015","April 16, 2015",""
"Accel Knights 2: Full Throttle","ArtePiazza","ArtePiazza","July 30, 2014","Unreleased","Unreleased","Unreleased",""
"Ace Combat: Assault Horizon Legacy","Access Games","Bandai Namco Games","January 12, 2012","November 15, 2011","December 1, 2011","December 2, 2011",""
"Ace Combat: Assault Horizon Legacy +","Project Aces","Bandai Namco Games","January 29, 2015","February 10, 2015","February 19, 2015","February 13, 2015",""
"Acrylic Palette: Irodori Cafe – Cheers","Klon","Klon","December 20, 2012","Unreleased","Unreleased","Unreleased",""
"Adventure Bar Story","RideOn Japan","RideOn Japan","June 25, 2014","February 19, 2015","November 25, 2016","March 26, 2015",""
"Adventure Labyrinth Story","RideOn Japan","JP: RideOn JapanWW: Circle Entertainment","February 10, 2016","September 1, 2016","Unreleased","July 21, 2016",""
"Adventure Time: Explore the Dungeon Because I Don't Know!","WayForward Technologies","Bandai NamcoD3 Publisher","Unreleased","November 19, 2013","December 19, 2013","December 13, 2013",""
"Adventure Time: Finn & Jake Investigations","WayForward Technologies","Little Orbit","Unreleased","October 20, 2015","November 6, 2015","November 6, 2015",""
"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!","WayForward Technologies","Bandai NamcoD3 Publisher","Unreleased","November 20, 2012","February 13, 2014","February 13, 2014",""
"Adventure Time: The Secret of the Nameless Kingdom","WayForward Technologies","JP: Bergsala LightweightWW: Little Orbit","December 15, 2016","November 18, 2014","November 20, 2014","November 21, 2014",""
"The Adventures of Tintin: The Game","Ubisoft","Ubisoft","January 12, 2012","December 6, 2011","December 1, 2011","October 21, 2011",""
"Aero Porter","Vivarium Inc.","Level-5","December 5, 2012","November 29, 2012","November 29, 2012","November 29, 2012",""
"AeternoBlade","Corecell Technology","Corecell Technology","March 19, 2014","February 18, 2014","Unreleased","February 27, 2014",""
"Aikatsu Stars! First Appeal","Bandai Namco Games","Bandai Namco Games","July 20, 2016","Unreleased","Unreleased","Unreleased",""
"Aikatsu Stars! My Special Appeal","Bandai Namco Games","Bandai Namco Games","November 24, 2016","Unreleased","Unreleased","Unreleased",""
"Aikatsu! 2-nin no My Princess","Bandai Namco Games","Bandai Namco Games","November 21, 2013","Unreleased","Unreleased","Unreleased",""
"Aikatsu! 365-Hi no Idol Days","Bandai Namco Games","Bandai Namco Games","December 4, 2014","Unreleased","Unreleased","Unreleased",""
"Aikatsu! Cinderella Lesson","Bandai Namco Games","Bandai Namco Games","November 15, 2012","Unreleased","Unreleased","Unreleased",""
"Aikatsu! My No.1 Stage!","Bandai Namco Games","Bandai Namco Games","November 25, 2015","Unreleased","Unreleased","Unreleased",""
"AiRace Speed","QubicGames","QubicGames","December 18, 2013","September 19, 2013","Unreleased","September 19, 2013",""
"AiRace Xeno","QubicGames","QubicGames","October 29, 2014","June 12, 2014","Unreleased","June 12, 2014",""
"Air Battle Hockey 3D","Silver Star","JP: Silver StarWW: Agetec","April 18, 2012","January 3, 2013","Unreleased","May 23, 2013",""
"Akari by Nikoli","Nikoli","Hamster Corporation","July 20, 2011","July 5, 2012","Unreleased","December 19, 2013",""
"AKB48 + Me","Kadokawa Shoten","Kadokawa Shoten","October 25, 2012","Unreleased","Unreleased","Unreleased",""
"Alchemic Dungeons","Flyhigh Works","Flyhigh Works","May 31, 2017","August 17, 2017","Unreleased","July 6, 2017",""
"Alien Chaos 3D","Ludosity","GMG Play","Unreleased","March 27, 2012","Unreleased","April 4, 2013",""
"Alien on the Run","G-Style","G-Style","April 30, 2014","May 22, 2014","Unreleased","August 4, 2016",""
"Alliance Alive","FuRyu","JP: FuRyuWW: Atlus USA","June 22, 2017","March 27, 2018","March 27, 2018","March 27, 2018",""
"Alphadia","Kemco","Kemco","December 9, 2015","February 4, 2016","February 11, 2016","February 11, 2016",""
"Alter World","Lemondo Games","Lemondo Games","Unreleased","April 5, 2018","Unreleased","Unreleased",""
"Amazing Spider-Man","Beenox","Activision","Unreleased","June 26, 2012","June 27, 2012","June 29, 2012",""
"Amazing Spider-Man 2","Beenox","Activision","Unreleased","April 29, 2014","May 7, 2014","May 2, 2014",""
"Ambition of the Slimes","Circle Entertainment","Circle Entertainment","June 15, 2016","August 11, 2016","Unreleased","August 11, 2016",""
"American Mensa Academy","Silverball Studios","Maximum Games","Unreleased","November 27, 2012","August 9, 2012","July 27, 2012",""
"Angler's Club: Ultimate Bass Fishing 3D","Tamsoft","Bandai NamcoD3 Publisher","February 2, 2012","October 25, 2011","November 24, 2011","September 30, 2011",""
